Unnamed: 0,ts_code,end_date,current_ratio,quick_ratio,inv_turn,ar_turn,ca_turn,fa_turn,assets_turn_x,profit_to_gr,op_of_gr,roa,npta,roic,debt_to_assets,ocf_to_shortdebt,debt_to_eqt,op_yoy,roe_yoy,assets_yoy,total_assets,total_liab,total_hldr_eqy_inc_min_int,assets_turn_y,ebit,working_capital,retained_earnings
0,000004.SZ,20240630,1.5309,1.5066,2.3793,0.2069,0.1181,23.158,0.0917,-53.4622,-55.682,-5.185,-4.9016,-10.8113,56.0186,-0.0912,1.2737,27.5824,-25.0978,-4.1634,19.797520387913828,19.218034231582603,18.976116704969474,0.0917,-16.859600340677442,18.473869139231336,-20.895539251268296
1,000006.SZ,20240630,1.8876,0.4091,0.1891,70.9836,0.1609,62.0846,0.1335,-12.8221,-13.0282,-1.2906,-1.7111,-2.071,68.889,-0.0035,2.2143,-7410.3338,-4888.1044,-12.8543,23.840659914037303,23.467986147041543,22.67305139208979,0.1335,-19.561784190687856,22.882965777174142,22.29017865714147
2,000007.SZ,20240630,2.3387,2.033,1.8474,4.2479,0.2856,1.7985,0.2005,2.5362,4.3858,0.6625,0.5085,0.7713,63.6418,0.3889,1.7504,-78.962,-79.6775,-3.2973,19.76901084949546,19.317111889962632,18.757259139724212,0.2005,14.769059420694036,18.85988578912394,-19.545457670875276
3,000008.SZ,20240630,0.7562,0.6109,0.2989,0.2324,0.11,1.0589,0.0498,-35.5835,-38.0561,-1.1608,-1.7737,-1.6481,66.8763,-0.0293,2.019,-158.6763,-164.8251,-1.5626,23.07358814433851,22.671262459903254,21.968667285054764,0.0498,-18.625398381577178,-21.14045630423291,-21.41018678517193
4,000010.SZ,20240630,0.7803,0.7462,0.3977,0.0778,0.0527,12.4002,0.0384,-108.2261,-105.1034,-3.1885,-4.1552,-24.4095,94.7941,-0.0066,18.2088,14.891,-182.19,-0.5712,21.861061801803096,21.807598344283008,18.905692278453035,0.0384,-18.41831047347943,-20.2761020261842,-21.794348979938817
5,000014.SZ,20240630,3.4475,0.8889,0.0907,84.9055,0.1328,13.2686,0.1133,19.9432,26.8436,2.9257,2.2599,3.0678,25.0084,-0.1154,0.3335,-87.5337,-88.3038,-9.1,21.549077831815953,20.163121070031274,21.261283201504185,0.1133,18.066268395270537,21.02448077372146,21.066283089694615
6,000021.SZ,20240630,1.2816,1.0559,1.8354,1.9774,0.4401,1.4409,0.2541,6.6404,7.9599,2.111,1.6876,2.1498,53.8907,0.1062,1.1688,21.0719,14.4124,2.7502,24.06030578839578,23.442093789125607,23.286149957270776,0.2541,20.18884273364205,22.00169247685763,22.65250845055337
7,000027.SZ,20240630,1.1789,1.1227,9.2017,1.4327,0.5344,0.332,0.1253,10.6036,13.1458,2.3801,1.3291,2.3755,64.8621,0.1954,1.8459,-1.4205,-6.1667,5.8685,25.813730173264904,25.380823138602935,24.76784090992821,0.1253,22.04761184495609,22.48903352882469,23.631042193728213
8,000031.SZ,20240630,1.5421,0.5779,0.1393,34.1834,0.1133,5.0287,0.0823,0.236,4.5386,0.9524,0.0194,0.074,76.6628,0.0216,3.285,-44.656,-922.3609,-2.6485,25.984999674965295,25.719245516879575,24.529879970377138,0.0823,21.344554994044085,24.611292211225415,20.763548693902123
9,000032.SZ,20240630,1.2213,1.1888,1.3759,2.8558,0.6893,6.8561,0.5569,0.4448,1.1039,0.8735,0.2477,0.9086,80.9014,-0.0674,4.236,1.6598,75.8118,11.2675,24.864598764895195,24.652660103775922,23.209041937004624,0.5569,20.072220791656797,22.95702933726231,21.153202450958762
10,000034.SZ,20240630,1.2126,0.7737,4.5797,4.9657,1.6964,105.3241,1.3617,0.8393,0.984,2.3221,1.1429,3.3452,79.1562,0.0048,3.7976,13.8485,0.5157,4.7189,24.573450291636114,24.33970348566917,23.00533564327102,1.3617,20.787946990358392,22.613923410116485,22.103812819110043
11,000035.SZ,20240630,0.6707,0.6289,4.1355,1.0101,0.4876,0.9931,0.0937,14.1063,14.2456,2.1121,1.3213,2.8611,61.3752,0.0661,1.589,84.4958,116.2376,1.189,24.071287518907663,23.58312265185221,23.12001272577425,0.0937,20.207905257294556,-21.716385875487497,22.065683778331987
12,000036.SZ,20240630,4.3209,1.9526,0.0416,27.1302,0.0374,0.2982,0.027,18.3723,26.3555,0.7303,0.4957,0.6087,23.0862,-0.1988,0.3002,60.9915,27.3727,-7.8702,22.769301513419105,21.303364828824495,22.50681710259337,0.027,17.89162991295873,22.113428096481023,22.018989481717135
13,000042.SZ,20240630,1.691,0.3648,0.0711,8.992,0.09,2.5784,0.0743,-18.4319,-15.6304,-0.3017,-1.3688,-0.6802,83.9982,0.1459,5.2493,-506.6808,-2904.3236,3.889,24.193635281875444,24.019260339495077,22.361166975686196,0.0743,-18.371239373799334,23.106708349994946,21.725165593200256
14,000048.SZ,20240630,0.6262,0.1457,0.7162,42.1139,0.6789,0.4867,0.2295,8.9332,11.35,2.8791,2.0498,4.3417,64.1007,-0.0144,1.7856,-83.3827,-84.6924,-5.9373,23.15756984612571,22.71285565080115,22.133116195822986,0.2295,19.640956492645355,-21.521282422569612,21.983058845289644
15,000049.SZ,20240630,1.6195,1.2648,3.7572,1.9094,0.8423,2.4947,0.5591,0.6062,0.2459,0.3382,0.3389,0.5256,58.8454,0.0588,1.4299,-85.0517,-60.1867,-6.4006,23.460545830322484,22.930288640301118,22.572712309320174,0.5591,17.80477440112257,22.06792555848635,22.091624453361035
16,000050.SZ,20240630,0.8621,0.7043,3.6811,1.8964,0.7337,0.3427,0.1947,-3.095,-2.7693,0.0489,-0.6026,0.0668,64.3639,0.1067,1.8061,68.6215,64.1247,-0.8068,25.121595079421155,24.68097824898174,24.089783270268377,0.1947,17.502137217190256,-21.962995220329745,-20.830107554838392
17,000059.SZ,20240630,3.8277,2.0607,2.8706,43.4826,1.2056,2.0907,0.7044,-3.5404,-3.399,-2.075,-2.4937,-2.5447,49.5369,-0.7334,0.9816,-15.1162,-10.1417,-11.5555,24.06272083942211,23.36026912929216,23.378792411731286,0.7044,-20.25081275749339,23.18913425893563,22.41710564417505
18,000060.SZ,20240630,1.4198,0.6198,3.0199,40.7262,1.8034,1.7694,0.6943,2.2408,2.6899,2.3726,1.5558,2.5127,62.3853,0.0605,1.6585,-5.9079,-8.0989,5.1411,24.53516925822397,24.063329104138624,23.557393404665145,0.6943,20.76922408796565,22.398904603822405,22.94504901606848
19,000061.SZ,20240630,0.4355,0.3342,1.8177,8.0466,0.6271,1.6481,0.1119,13.1514,18.3972,2.4182,1.4716,2.3868,61.3875,0.0578,1.5898,13.785,5.7967,-3.8077,23.74240385457641,23.254440407444232,22.790808920132797,0.1119,20.039838540490802,-22.30212733036082,21.228899574299035
